Data;Modalidade;Cidade;Órgão;Natureza;Função;Categoria_Final;Objeto;Valor;Link;Status_Duplicidade
2026-01-05;Dispensa;Natal;COMANDO DA MARINHA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de serviço de calibração dos equipamentos da oficina de extintores da Base Naval de Natal (BNN).;1363.0;;ORIGINAL
2026-01-05;Dispensa;Natal;COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Aquisição de ares condicionados, para atender as dependências da 12ª Superintendência Regional da CODEVASF/Natal.;23080.0;;ORIGINAL
2026-01-05;Dispensa;Nova Cruz;MUNICIPIO DE NOVA CRUZ;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de pessoa jurídica, especializada na prestação de serviço de hospedagem, com café da manhã incluso, para atender as necessidades do Município de Nova Cruz/RN.;25500.0;;ORIGINAL
2026-01-05;Dispensa;Pau dos Ferros;MUNICIPIO DE PAU DOS FERROS;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Processo de despesa destinado a contratação de empresa especializada na prestação de serviço de Seguro de Veículo, para segurar três veículos integrantes da frota da Prefeitura Municipal de Pau dos Ferros/RN, atendendo a Secretaria Municipal de Saúde - SESAU.;12041.89;;ORIGINAL
2026-01-05;Pregão;São Gonçalo do Amarante;MUNICIPIO DE SAO GONCALO DO AMARANTE;LOCAÇÃO;OUTROS;LOCAÇÃO - OUTROS;[Portal de Compras Públicas] - Registro de Preço para eventual Contratação de empresa especializada no fornecimento de acesso à internet via fibra óptica, por meio de múltiplos pontos de conexão, com velocidade de 4 Gbps, com IP dedicado, incluindo aluguel de equipamentos de rede e na prestação de serviços técnicos especializados na implantação, operacionalização, gestão e manutenção de uma solução de transmissão de dados de forma integrada, contínua e gerenciada à PREFEITURA SÃO GONÇALO DO AMARANTE;139484.59;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Sao-Goncalo-do-Amarante-1125/PE-64-2025-2026-444457;ORIGINAL
2026-01-05;Dispensa;Pau dos Ferros;MUNICIPIO DE PAU DOS FERROS;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Processo de despesa, em caráter emergencial, para atender à necessidade urgente de aquisição de equipamento de mobilidade, sendo: ANDADOR POSTERIOR INFANTIL do paciente Sr. J. M. M. P., para atender demanda da Secretaria Municipal de Saúde – SESAU.;4800.0;;ORIGINAL
2026-01-05;Dispensa;Natal;CONSELHO REGIONAL DE MEDICINA DO ESTADO DO RN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA EM SERVIÇOS DE SEGURO PREDIAL (SEDE, MEMORIAL E DELEGACIAS DE MOSSORÓ, CAICÓ E PAU DOS FERROS.;3877.51;;ORIGINAL
2026-01-05;Pregão;Santa Cruz;MUNICIPIO DE SANTA CRUZ;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Contratação de empresa(s) especializada(s) na prestação de serviços de locação de veículos, (Ônibus, Micro-ônibus, Van Veículos tipo passeio, Picap e caminhão tipo baú), para atender as Secretarias Municipais do Município de Santa Cruz/RN;6104061.72;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Santa-Cruz-1190/RPE-62-2025-2026-447900;ORIGINAL
2026-01-05;Dispensa;Mossoró;MUNICIPIO DE MOSSORO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - O objeto da presente dispensa é a escolha da proposta mais vantajosa para o fornecimento, instalação e configuração de equipamentos de videomonitoramento (CFTV), incluindo câmeras, NVR, switch PoE, nobreak, racks, réguas de energia e acessórios, destinados à estruturação do sistema de segurança eletrônica da Secretaria Municipal da Fazenda - SEFAZ, conforme condições, quantidades e especificações estabelecidas neste Aviso de Contratação Direta e seus anexos.;24618.53;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Mossoro-1230/DE-02-2025-2026-447910;ORIGINAL
2026-01-05;Dispensa;Mossoró;MUNICIPIO DE MOSSORO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - O objeto da presente dispensa é a escolha da proposta mais vantajosa para a Aquisição de leitores de códigos de barras e QR Code, destinados a suprir as necessidades operacionais do Setor de Tesouraria vinculado à Secretaria de planejamento, Orçamento e Finanças da Prefeitura Municipal de Mossoró, conforme condições, quantidades e especificações estabelecidas neste Aviso de Contratação Direta e seus anexos.;1530.39;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Mossoro-1230/DE-01-2025-2026-447917;ORIGINAL
2026-01-05;Dispensa;Natal;CONSELHO REGIONAL DE MEDICINA DO ESTADO DO RN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA EM SERVIÇOS DE SEGURO VEICULAR – JEEP COMPASS 2.0 TD 350 4 X4 AUT. – 5 PASS 2022/2023 PERTENCENTE AO CONSELHO REGIONAL DE MEDICINA DO RN.;3300.0;;ORIGINAL
2026-01-05;Pregão;São Tomé;MUNICIPIO DE SAO TOME;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - OBTENÇÃO DE REGISTRO DE PREÇOS PARA AQUISIÇÃO DE GULOSEIMAS PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE SÃO TOMÉ/RN.;0.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Sao-Tome-2068/RPE-01-2026-2026-447939;ORIGINAL
2026-01-05;Dispensa;Natal;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;DISPENSA DE LICITAÇÃO Nº.: 90101/2025 - AQUISIÇÃO DE KITS PARA ARDUINO;2890.6;;ORIGINAL
2026-01-05;Pregão;Macaíba;MUNICIPIO DE MACAIBA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;AQUISIÇÕES DE BENS E ELETRODOMÉSTICOS PERMANENTES, HOSPITALAR E NÃO HOSPITALAR, DESTINADOS A ATENDER OS SERVIÇOS DO MUNICÍPIO DE MACAÍBA/RN.;10099968.25;;ORIGINAL
2026-01-06;Pregão;São José do Seridó;MUNICIPIO DE SAO JOSE DO SERIDO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;AQUISIÇÃO GRADATIVA DE ÁGUA POTÁVEL EM CARRADAS DE 12.000 LITROS PARA CONSUMO DOMÉSTICO.;80380.0;;ORIGINAL
2026-01-06;Dispensa;Mossoró;MUNICIPIO DE MOSSORO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Aquisição de itens para tombamento de bens públicos para atender as necessidades do almoxarifado da Prefeitura Municipal de Mossoró, conforme condições, quantidades e especificações estabelecidas neste Aviso de Contratação Direta e seus anexos.;2099.3;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Mossoro-1230/DE-02-2025-2026-447884;ORIGINAL
2026-01-06;Pregão;Jardim de Piranhas;MUNICIPIO DE JARDIM DE PIRANHAS;OBRAS;OUTROS;OBRAS - OUTROS;[Portal de Compras Públicas] - LOCAÇÃO DE VEÍCULO TIPO CAMINHÃO PIPA DESTINADO A MANUTENÇÃO DAS SECRETARIAS MUNICIPAIS DE AGRICULTURA E ABASTECIMENTO E OBRAS E SERVIÇOS URBANOS DESTE MUNICÍPIO DE JARDIM DE PIRANHAS-RN;545802.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Jardim-de-Piranhas-1499/PE-2-2026-2026-447987;ORIGINAL
2026-01-06;Pregão;Macaíba;MUNICIPIO DE MACAIBA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Abertura de processo licitatório com objetivo de fornecimento de insumos (equipo para bomba de infusão: simples com injetor lateral, simples fotossensível, e para dietas parenterais/enterais), com equipamentos de bombas de infusão para pacientes adultos e pediátricos em regime de comodato.;237560.0;;ORIGINAL
2026-01-06;Pregão;Coronel Ezequiel;MUNICIPIO DE CORONEL EZEQUIEL;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Registro de Preços para futura e eventual aquisição de pneus e câmaras para a frota de veículos e máquinas do município de Coronel Ezequiel/RN;169634.34;;ORIGINAL
2026-01-06;Pregão;Santana do Seridó;MUNICIPIO DE SANTANA DO SERIDO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de empresa para locação de estruturas para eventos, destinadas a atender as demandas da Secretaria Municipal de Agricultura Recursos Hídricos e Meio Ambiente;188750.0;;ORIGINAL
2026-01-06;Dispensa;Equador;MUNICIPIO DE EQUADOR;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de empresa especializada no fornecimento de água potável mineral ou adicionada de sais, em garrafões de 20 litros, lacrados e selados, isenta de mistura, sujidade, cor e cheiro, pronta para consumo nas secretarias do Município de Equador/RN;60800.0;;ORIGINAL
2026-01-06;Pregão;Florânia;MUNICIPIO DE FLORANIA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL MANUTENÇÃO DE VEÍCULOS COM REPOSIÇÃO DE PEÇAS.;1165087.5;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Florania-2256/RPEM-024-2025-2026-448045;ORIGINAL
2026-01-06;Dispensa;Nísia Floresta;MUNICIPIO DE NISIA FLORESTA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de serviço especializado para a confecção e montagem de estrutura metálica destinada à instalação de elementos de iluminação e decoração natalina no centro da cidade de Nísia Floresta/RN, abrangendo as praças, avenidas principais e áreas de maior circulação pública, de modo a garantir segurança, estabilidade e adequação estética à ornamentação natalina.;9200.0;;ORIGINAL
2026-01-06;Pregão;Jardim de Piranhas;MUNICIPIO DE JARDIM DE PIRANHAS;SERVIÇOS;OUTROS;SERVIÇOS - OUTROS;[Portal de Compras Públicas] - AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA COMPOR OS ITENS DE PREPARO DA MERENDA ESCOLAR DO MUNICÍPIO DE JARDIM DE PIRANHAS-RN DURANTE O ANO DE 2026;1710520.2;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Jardim-de-Piranhas-1499/PE-1-2026-2026-447986;ORIGINAL
2026-01-06;Pregão;Rafael Fernandes;MUNICIPIO DE RAFAEL FERNANDES;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Registro de Preços para futura e eventual locação de estruturas destinadas aos eventos e festividades realizada pelas Secretarias Municipais deste Município de Rafael Fernandes–RN;0.0;;ORIGINAL
2026-01-06;Dispensa;Lagoa Nova;CONSORCIO INTERMUNICIPAL DE SANEAMENTO DA SERRA DE SANTANA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Contratação de empresa para fornecimento de combustíveis (gasolina comum) para atender as necessidades do CONISA.;60000.0;https://portaldecompraspublicas.com.br/processos/RN/Consorcio-Intermunicipal-de-Saneamento-da-Serra-de-Santana-CONISA-1118/DEMD-001-2026-2026-448196;ORIGINAL
2026-01-06;Dispensa;Paraú;MUNICIPIO DE PARAU;OBRAS;OUTROS;OBRAS - OUTROS;CONTRATAÇÃO EM CARÁTER EMERGENCIAL DE PESSOA JURÍDICA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PROFISSIONAIS DE SAÚDE, COM DISPONIBILIZAÇÃO DE MÃO DE OBRA QUALIFICADA PARA ATUAÇÃO NO HOSPITAL MUNICIPAL ROSALÍA GONDIM E NAS UNIDADES BÁSICAS DE SAÚDE DO MUNICÍPIO DE PARAÚ/RN;2075275.8;;ORIGINAL
2026-01-06;Pregão;Pedra Grande;MUNICIPIO DE PEDRA GRANDE;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Obtenção de registro de preços para futura e eventual contratação de empresa para aquisição de equipamentos e materiais de informática para atender as demandas das diversas secretarias e órgãos da administração pública de Pedra Grande/RN.;0.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Pedra-Grande-1534/RPE-001-2026-2026-2026-448053;ORIGINAL
2026-01-06;Pregão;Várzea;MUNICIPIO DE VARZEA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de empresa especializada na preparação e fornecimento de refeições prontas (café da manhã e almoço), destinadas ao atendimento dos policiais e servidores municipais do Município de Várzea/RN, durante a realização de eventos institucionais, ações de saúde, conferências, oficinas, jornadas de trabalho estendidas e demais atividades administrativas promovidas pelo município;74100.0;;ORIGINAL
2026-01-06;Dispensa;Japi;MUNICIPIO DE JAPI;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;contratação de serviços, de forma parcelada, de elaboração de projetos para corpo de bombeiros, incluindo obtenção de licenças e acompanhamento de vistoria para eventos;41763.12;;ORIGINAL
2026-01-06;Dispensa;Jardim de Angicos;JARDIM DE ANGICOS CAMARA MUNICIPAL;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Digitalização centralizada de TODOS os processos de despesa do Exercício de 2025, com tratamento, armazenamento temporário, indexação e classificação de imagens digitalizadas.;18000.0;https://seudominio.com/envio-proposta;ORIGINAL
2026-01-06;Dispensa;Equador;MUNICIPIO DE EQUADOR;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Contratação de empresa especializada para aquisição de extintores de incêndio para diversos ambientes e veículos que estejam em conformidade com as determinações do Inmetro de acordo com as demais informações e descritivos constantes no presente Termo de Referência;13910.95;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Equador-2468/DE-3-2026-2026-448093;ORIGINAL
2026-01-06;Pregão;São José do Campestre;MUNICIPIO DE SAO JOSE DO CAMPESTRE;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Registro de Preços para futura contratação de pessoa jurídica para fornecimento de cessão de direito de direito uso de Sistemas Integrados para Gestão Pública, hospedagem e prestação de serviços técnicos especializados de manutenção preventiva, corretiva, evolutiva e adaptativa dos softwares, de acordo com as alterações legais da Legislação Brasileira e SIAFIC - Sistema Único e Integrado de Execução Orçamentária, Administração Financeira e Controle, além da migração de dados existentes nos sistemas em produção, treinamento dos sistemas, e suporte técnico as unidades operacionais integradas, para atendimento das necessidades da Prefeitura Municipal de São José do Campestre/RN.;664945.61;;ORIGINAL
2026-01-06;Pregão;Alto do Rodrigues;MUNICIPIO DE ALTO DO RODRIGUES;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Registro de preço para futura Aquisição de ambulância de transporte tipo “A”, zero km, ano/modelo mínimo 2025/2026, destinada ao atendimento e transporte de pacientes em situações de urgência e em procedimentos eletivos no município de Alto do Rodrigues/RN, conforme Proposta nº 97546089000125003, referente à Emenda Parlamentar nº 39170015.;326239.71;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Alto-do-Rodrigues-1573/RPE-001-2026-2026-448177;ORIGINAL
2026-01-06;Dispensa;Equador;MUNICIPIO DE EQUADOR;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Contratação de empresa especializada para coleta, gerenciamento, transporte e tratamento de resíduos sólidos perigosos por destruição térmica (incineração) e destinação final das cinzas dos resíduos sólidos provenientes dos serviços de saúde municipal (lixo hospitalar);25480.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Equador-2468/DE-2-2026-2026-448088;ORIGINAL
2026-01-06;Dispensa;Lagoa Nova;CONSORCIO INTERMUNICIPAL DE SANEAMENTO DA SERRA DE SANTANA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Contratação de Empresa para Locação de Impressora, para atender as necessidades do CONISA.;8579.88;https://portaldecompraspublicas.com.br/processos/RN/Consorcio-Intermunicipal-de-Saneamento-da-Serra-de-Santana-CONISA-1118/DE-002-2026-2026-448197;ORIGINAL
2026-01-07;Pregão;Ceará-Mirim;MUNICIPIO DE CEARA-MIRIM;OBRAS;OUTROS;OBRAS - OUTROS;[Portal de Compras Públicas] - REGISTRO DE PREÇO PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE ARAGEM DE TERRA, COM FORNECIMENTO DE MÃO DE OBRA, MÁQUINAS AGRÍCOLAS, COMBUSTÍVEL E DEMAIS INSUMOS NECESSÁRIOS, VISANDO ATENDER AGRICULTORES FAMILIARES E PEQUENAS PROPRIEDADES RURAIS DO MUNICÍPIO DE CEARÁ-MIRIM/RN.;0.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Ceara-Mirim-1205/PE-040-2025-2026-448224;ORIGINAL
2026-01-07;Dispensa;Pau dos Ferros;MUNICIPIO DE PAU DOS FERROS;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Processo de despesa destinado a contratação de empresa especializada na prestação de serviços de 1ª revisão programada – 10.000 KM (dez mil quilômetros), incluindo o fornecimento de peças e acessórios para veículo PAJERO SPORT HPE-S 2.4 DI-D 4X4 AT, 2024/2025, PLACA - TSS4J46 - veículo da frota da Administração Pública de Pau dos Ferros/RN para atender demandas da Secretaria de Governo - SEGOV.;2234.57;;ORIGINAL
2026-01-07;Pregão;Natal;CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO RIO GRANDE DO NORTE - CREA/RN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Aquisição de 03 (três) veículos automotores de passeio e 01 (um) veículo automotor tipo pick-up com tração 4x4, zero quilometro, visando atender as necessidades da Gerência de Fiscalização do CREA-RN, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;729311.31;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92639305900012026;ORIGINAL
2026-01-07;Pregão;Mossoró;FUNDACAO UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE - FUERN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação dos serviços para realização de instalação de toda a infraestrutura de rede com fornecimento de insumos FANAT, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;245785.62;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92554305900442025;ORIGINAL
2026-01-07;Pregão;Ruy Barbosa;MUNICIPIO DE RUY BARBOSA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Registro de Preços para aquisição futura e parcelada de combustíveis para a frota de veículos do município de Ruy Barbosa/RN.;2526000.0;;ORIGINAL
2026-01-07;Dispensa;Carnaúba dos Dantas;MUNICIPIO DE CARNAUBA DOS DANTAS;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE PORTÃO DE MATERIAL GALVANIZADO PARA ARENINHA POTIGUAR – MÁRCIO JOSÉ DE OLIVEIRA DANTAS;3591.13;https://transparencia.agilirn.com.br/prefcarnaubadantas-rn/licitacoes/licitacao?id=1460;ORIGINAL
2026-01-07;Dispensa;Carnaúba dos Dantas;MUNICIPIO DE CARNAUBA DOS DANTAS;SERVIÇOS;OUTROS;SERVIÇOS - OUTROS;CONTRATAÇÃO, POR DISPENSA DE LICITAÇÃO, DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE CONSULTORIA NA ÁREA DA SAÚDE, COM FOCO NO ACOMPANHAMENTO TÉCNICO E ADMINISTRATIVO DE EMENDAS PARLAMENTARES DESTINADAS À SAÚDE;33087.48;https://transparencia.agilirn.com.br/prefcarnaubadantas-rn/licitacoes/licitacao?id=1461;ORIGINAL
2026-01-07;Pregão;Parelhas;MUNICIPIO DE PARELHAS;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;MANUTENÇÃO DE CATAVENTOS;100000.0;;ORIGINAL
2026-01-07;Dispensa;Touros;TOUROS CAMARA MUNICIPAL;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Valor emprenhado, referente a continuação do contrato de serviço de prestação de serviços de gestão digital por meio da digitalização, processo nº 021200003.;14400.0;https://seudominio.com/envio-proposta;ORIGINAL
2026-01-07;Dispensa;Touros;TOUROS CAMARA MUNICIPAL;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de empresa especializada no segmento de tecnologia da informação para a prestação de serviços de implantação de Sistema Informatizado de Aplicativo de Votação Eletrônica e aplicativo mobile da entidade Câmara Municipal de Touros, contemplando Treinamento, Suporte Técnico e Licença de Uso durante a vigência do contrato, conforme itens descritos neste termo.;35000.0;https://seudominio.com/envio-proposta;ORIGINAL
2026-01-07;Concorrência;Mossoró;MUNICIPIO DE MOSSORO;SERVIÇOS;OUTROS;SERVIÇOS - OUTROS;O objeto da presente licitação é a contratação de até 03 (três) Agências de Publicidade e Propaganda, para a prestação de serviços de publicidade, compreendendo o conjunto de atividades realizadas integradamente que tenham por objetivo o estudo, o planejamento, a conceituação, a concepção, a criação, a execução interna, a intermediação e a supervisão da execução externa e a distribuição de publicidade aos veículos e demais meios de divulgação, com o intuito de atender ao direito à informação, de difundir ideias, princípios, iniciativas ou instituições ou de informar o público em geral para atender as necessidades da Prefeitura Municipal de Mossoró, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;0.0;;ORIGINAL
2026-01-07;Dispensa;Macau;MUNICIPIO DE MACAU;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de empresa Especializada no Fornecimento de Alimentação Pronta (Café da Manhã, Almoço, Janta, Buffet E Coffebreak), Para Atender as Necessidades das Secretarias Municipais da Prefeitura Municipal de Macau/RN.;62657.0;;ORIGINAL
2026-01-07;Dispensa;Pau dos Ferros;MUNICIPIO DE PAU DOS FERROS;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Processo de despesa destinado a contratação de empresa especializada na prestação de serviço de Seguro de Veículo, para segurar o veículo – CHEVROLET – SPIN PREMIER 1.8 – 0KM, PLACA TSV7G98 - integrante da frota da Prefeitura Municipal de Pau dos Ferros/RN, atendendo a Secretaria Municipal de Saúde - SESAU.;4163.77;;ORIGINAL
2026-01-07;Pregão;Severiano Melo;MUNICIPIO DE SEVERIANO MELO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de empresa para prestação de serviço de aração e gradagem de terra para a Secretaria Municipal de Agricultura e Meio Ambiente de Severiano Melo/RN;0.0;;ORIGINAL
